Region,Predicted_Meat_Expenditure,Actual_Meat_Expenditure,Average_Household_Income,Business_Potential_Score
Autonomous Region in Muslim Mindanao,3857.28,2186.1918158567773,131005.04143222506,0.0
Bicol,7944.22,8131.773705642816,162936.43106457242,33.13341116191588
Cagayan Valley,10521.52,11430.726480836236,191509.66666666666,54.02795343256478
Calabarzon,13377.65,13453.087994299964,231176.03811898825,77.18301066900152
Caraga,7498.93,6925.192052980133,157767.27520235468,29.523381003340145
Central Luzon,11526.38,14298.88178913738,226767.76951163853,62.174498167785444
Central Visayas,8278.16,7483.78827546955,175411.83323847468,35.84071083438726
Cordillera Administrative Region,10435.83,10749.627251370399,202637.0555990603,53.33325226189318
Davao,10015.86,8392.769311064718,182751.77974947807,49.928494989785
Eastern Visayas,7068.66,7142.909307875895,152696.82398568018,26.03512014787431
Ilocos,10210.13,10976.306996381181,191732.4167671894,51.50346985763854
Mimaropa,8681.87,7017.678423236514,170321.91701244813,39.11364594480657
National Capital Region,16192.08,14648.077169132346,274984.87405037985,100.0
Northern Mindanao,6271.52,5740.670972127804,161273.82053025154,19.572591367513056
Soccsksargen,5683.32,5661.998779743746,144263.31909701036,14.80396925770989
Western Visayas,8417.35,8107.507816439737,175936.7256681795,36.96914420987775
Zamboanga Peninsula,7441.55,5328.12804453723,153940.84899095338,29.05819307974187
