Region,Average_Household_Income,Average_Restaurant_Hotel_Expenditure,Average_Meat_Expenditure,Average_Fish_Expenditure,Average_Transportation_Expenditure,Average_Communication_Expenditure,Average_Total_Food_Expenditure,Actual_Restaurant_Expenditure,Predicted_Restaurant_Hotel_Expenditure,Business_Potential_Score
Autonomous Region in Muslim Mindanao,131005.04143222506,4117.228644501279,2186.1918158567773,13156.863938618926,4396.048081841433,1226.0102301790282,65246.31713554987,4117.228644501279,3711.43,0.0
Bicol,162936.43106457242,8846.447353112275,8131.773705642816,10134.27806864456,6961.071553228621,1805.9546247818498,75339.0802792321,8846.447353112275,7877.46,16.78079350105413
Cagayan Valley,191509.66666666666,11033.60743321719,11430.726480836236,8428.894889663183,7455.578397212544,2157.8397212543555,72027.46980255516,11033.60743321719,12816.29,36.674429976742296
Calabarzon,231176.03811898825,23664.721767011044,13453.087994299964,9962.640897755611,13819.919486996794,4400.556465977912,95744.66191663698,23664.721767011044,19396.61,63.1799978893249
Caraga,157767.27520235468,6163.618101545254,6925.192052980133,9817.080206033848,6323.527593818984,1568.4900662251655,67727.31567328918,6163.618101545254,5289.07,6.354743258930692
Central Luzon,226767.76951163853,17591.00319488818,14298.88178913738,10522.885440438156,12659.950707439526,3914.7576449109997,93189.71109082611,17591.00319488818,13915.32,41.10132932251357
Central Visayas,175411.83323847468,14063.933978372226,7483.78827546955,10739.260671599317,8654.78998292544,2323.2191235059763,77209.6124075128,14063.933978372226,9768.17,24.396584573220686
Cordillera Administrative Region,202637.0555990603,7512.166797180893,10749.627251370399,7563.21613155834,8236.576350822239,2660.5371965544246,74197.92325763508,7512.166797180893,9144.8,21.885646523146125
Davao,182751.77974947807,10084.490605427975,8392.769311064718,11479.283924843423,8702.10751565762,1987.562630480167,74411.60386221294,10084.490605427975,8540.24,19.450475264418447
Eastern Visayas,152696.82398568018,4387.936754176611,7142.909307875895,9736.448090692124,6251.982100238663,1634.4307875894988,66697.3568019093,4387.936754176611,5205.01,6.016149081332691
Ilocos,191732.4167671894,14326.588057901086,10976.306996381181,8516.672496984318,8726.533172496984,2718.195416164053,76444.67310012062,14326.588057901086,9722.38,24.212142182164147
Mimaropa,170321.91701244813,7129.759336099585,7017.678423236514,8747.404564315353,7033.182572614108,1812.2614107883817,66940.6939834025,7129.759336099585,9493.81,23.29146086913089
National Capital Region,274984.87405037985,31390.612954818072,14648.077169132346,9716.407836865254,14584.469412235107,5607.5049980008,107853.21351459416,31390.612954818072,28537.61,100.0
Northern Mindanao,161273.82053025154,6287.214819850442,5740.670972127804,7068.740312712441,7441.064581917063,1984.6743711760707,58773.3099932019,6287.214819850442,8203.71,18.09493043230976
Soccsksargen,144263.31909701036,8056.724832214765,5661.998779743746,10026.278828553995,8222.661378889567,1827.6388041488713,67334.29286150092,8056.724832214765,7764.67,16.326474713387242
Western Visayas,175936.7256681795,8645.009077155824,8107.507816439737,11584.28996469995,7995.065052950075,2299.449319213313,76328.96923852748,8645.009077155824,8038.18,17.42817461244541
Zamboanga Peninsula,153940.84899095338,7258.892136395268,5328.12804453723,9844.232428670843,5837.528183716076,1343.0772442588727,65405.705636743216,7258.892136395268,6768.21,12.312727934784974
